model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
SVC,0,0,0,0,0.0,0,0,0,0,0,1.26,0,linear,0.856,0.832,1.0,1.0,0.00203,54,5,200,6,6029,10.65158,4.55137
Decision Tree,gini,4,1,,0.0,0,0,0,0,0,0.0,0,0,1.0,1.0,1.0,1.0,0.00103,54,5,200,6,6029,10.65158,4.55137
Random Forest,gini,3,13,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.962,0.959,1.0,1.0,0.06483,54,5,200,6,6029,10.65158,4.55137
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.8,1000,0,0.906,0.901,1.0,1.0,0.013,54,5,200,6,6029,10.65158,4.55137
SVC,0,0,0,0,0.0,0,0,0,0,0,0.73,0,poly,0.906,0.909,0.975,0.976,0.00199,54,5,200,6,6029,10.65158,4.55137
Decision Tree,gini,3,13,,0.0,0,0,0,0,0,0.0,0,0,0.906,0.866,0.975,0.963,0.001,54,5,200,6,6029,10.65158,4.55137
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.3,150,0,0.894,0.888,0.975,0.963,0.01007,54,5,200,6,6029,10.65158,4.55137
Random Forest,gini,2,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.894,0.854,0.975,0.963,0.06383,54,5,200,6,6029,10.65158,4.55137
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.8,450,0,0.85,0.821,0.95,0.946,0.00827,54,5,200,6,6029,10.65158,4.55137
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.95,0.948,0.04004,54,5,200,6,6029,10.65158,4.55137
Decision Tree,entropy,3,3,,0.0,0,0,0,0,0,0.0,0,0,0.912,0.875,0.95,0.927,0.00199,54,5,200,6,6029,10.65158,4.55137
