model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.4,300,0,0.815,0.732,0.906,0.861,0.01562,23,2,1429,24,163490,12651298.18,7966692.693
Logistic Regression,0,0,0,0,0.0,0,0,0,newton-cg,l2,0.4,1550,0,0.817,0.735,0.899,0.851,0.01562,23,2,1429,24,163490,12651298.18,7966692.693
Logistic Regression,0,0,0,0,0.0,0,0,0,newton-cg,l2,0.2,1800,0,0.818,0.736,0.895,0.846,0.01562,23,2,1429,24,163490,12651298.18,7966692.693
Random Forest ,gini,2,17,sqrt,0.0,110,0,0,0,0,0.0,0,0,0.819,0.737,0.892,0.841,0.25324,23,2,1429,23,163490,12651298.18,7966692.693
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.7,1850,0,0.82,0.739,0.888,0.835,0.01562,23,2,1429,24,163490,12651298.18,7966692.693
Random Forest ,gini,21,15,sqrt,0.0,70,0,0,0,0,0.0,0,0,0.867,0.833,0.888,0.839,0.16182,23,2,1429,23,163490,12651298.18,7966692.693
Random Forest ,gini,22,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.896,0.878,0.885,0.83,0.14714,23,2,1429,23,163490,12651298.18,7966692.693
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,350,0,0.821,0.74,0.885,0.83,0.01562,23,2,1429,24,163490,12651298.18,7966692.693
Random Forest ,gini,3,19,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.822,0.741,0.881,0.825,0.11353,23,2,1429,23,163490,12651298.18,7966692.693
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.4,150,0,0.822,0.742,0.878,0.82,0.0,23,2,1429,24,163490,12651298.18,7966692.693
Decision Tree,entropy,1,3,,0.0,0,0,0,0,0,0.0,0,0,0.822,0.742,0.878,0.82,0.00299,23,2,1429,23,163490,12651298.18,7966692.693
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,400,0,0.823,0.743,0.874,0.815,0.0,23,2,1429,24,163490,12651298.18,7966692.693
Decision Tree,entropy,1,5,,0.0,0,0,0,0,0,0.0,0,0,0.823,0.743,0.874,0.815,0.00299,23,2,1429,23,163490,12651298.18,7966692.693
Random Forest ,gini,1,17,log2,0.0,50,0,0,0,0,0.0,0,0,0.824,0.745,0.871,0.81,0.08909,23,2,1429,23,163490,12651298.18,7966692.693
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,600,0,0.824,0.745,0.871,0.81,0.0,23,2,1429,24,163490,12651298.18,7966692.693
Decision Tree,gini,1,3,,0.0,0,0,0,0,0,0.0,0,0,0.824,0.745,0.871,0.81,0.002,23,2,1429,23,163490,12651298.18,7966692.693
Decision Tree,gini,1,8,log2,0.0,0,0,0,0,0,0.0,0,0,0.825,0.746,0.867,0.805,0.001,23,2,1429,23,163490,12651298.18,7966692.693
SVC,0,0,0,0,0.0,0,0,0,0,0,0.4,0,rbf,0.825,0.746,0.867,0.805,0.05685,23,2,1429,23,163490,12651298.18,7966692.693
K Nearest Neighbors,0,0,0,0,0.0,0,9,chebyshev,0,0,0.0,0,0,0.823,0.757,0.867,0.818,0.00199,23,2,1429,23,163490,12651298.18,7966692.693
Random Forest ,gini,3,17,log2,0.0,50,0,0,0,0,0.0,0,0,0.825,0.746,0.867,0.805,0.09347,23,2,1429,23,163490,12651298.18,7966692.693
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.6,400,0,0.825,0.746,0.867,0.805,0.01558,23,2,1429,24,163490,12651298.18,7966692.693
Decision Tree,gini,1,9,auto,0.0,0,0,0,0,0,0.0,0,0,0.826,0.747,0.864,0.8,0.001,23,2,1429,23,163490,12651298.18,7966692.693
K Nearest Neighbors,0,0,0,0,0.0,0,16,chebyshev,0,0,0.0,0,0,0.827,0.751,0.864,0.8,0.00203,23,2,1429,23,163490,12651298.18,7966692.693
Random Forest ,gini,2,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.826,0.747,0.864,0.8,0.08903,23,2,1429,23,163490,12651298.18,7966692.693
