model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest ,entropy,11,18,log2,0.0,130,0,0,0,0,0.0,0,0,0.91,0.91,0.946,0.946,0.19098,40,2,918,12,36840,43.95966,13.98935
Random Forest ,gini,19,18,log2,0.0,130,0,0,0,0,0.0,0,0,0.917,0.917,0.935,0.935,0.17054,40,2,918,12,36840,43.95966,13.98935
Random Forest ,gini,7,4,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.94,0.94,0.929,0.929,0.08776,40,2,918,12,36840,43.95966,13.98935
Logistic Regression,0,0,0,0,0.0,0,0,0,saga,l1,0.2,1500,0,0.831,0.831,0.924,0.924,0.0,40,2,918,12,36840,43.95966,13.98935
SVC,0,0,0,0,0.0,0,0,0,0,0,1.44,0,linear,0.846,0.846,0.924,0.924,0.007,40,2,918,12,36840,43.95966,13.98935
Gradient Boosting,0,3,0,0,0.2,100,0,0,0,0,0.0,0,0,0.975,0.975,0.924,0.924,0.136,40,2,918,12,35921,43.95966,13.98935
Random Forest ,gini,15,2,log2,0.0,50,0,0,0,0,0.0,0,0,1.0,1.0,0.918,0.918,0.12167,40,2,918,12,36840,43.95966,13.98935
K Nearest Neighbors,0,0,0,0,0.0,0,16,euclidean,0,0,0.0,0,0,0.849,0.849,0.918,0.919,0.00203,40,2,918,12,36840,43.95966,13.98935
Gradient Boosting,0,4,0,0,0.1,120,0,0,0,0,0.0,0,0,0.988,0.988,0.913,0.913,0.263,40,2,918,12,35921,43.95966,13.98935
Decision Tree,gini,6,14,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.879,0.878,0.913,0.913,0.001,40,2,918,12,36840,43.95966,13.98935
SVC,0,0,0,0,0.0,0,0,0,0,0,0.3,0,poly,0.879,0.879,0.913,0.913,0.01004,40,2,918,12,36840,43.95966,13.98935
Random Forest ,gini,9,8,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.943,0.943,0.913,0.913,0.14461,40,2,918,12,36840,43.95966,13.98935
Decision Tree,gini,4,20,,0.0,0,0,0,0,0,0.0,0,0,0.865,0.864,0.908,0.907,0.00199,40,2,918,12,36840,43.95966,13.98935
Random Forest ,gini,4,16,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.884,0.883,0.908,0.907,0.09176,40,2,918,12,36840,43.95966,13.98935
SVC,0,0,0,0,0.0,0,0,0,0,0,0.06,0,poly,0.862,0.861,0.908,0.907,0.00804,40,2,918,12,36840,43.95966,13.98935
Gradient Boosting,0,6,0,0,0.1,40,0,0,0,0,0.0,0,0,0.996,0.996,0.902,0.902,0.13499,40,2,918,12,35921,43.95966,13.98935
Random Forest ,gini,3,20,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.864,0.863,0.902,0.902,0.0748,40,2,918,12,36840,43.95966,13.98935
SVC,0,0,0,0,0.0,0,0,0,0,0,0.05,0,poly,0.869,0.869,0.902,0.902,0.00794,40,2,918,12,36840,43.95966,13.98935
Random Forest ,gini,7,16,log2,0.0,50,0,0,0,0,0.0,0,0,0.911,0.911,0.897,0.896,0.08477,40,2,918,12,36840,43.95966,13.98935
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,800,0,0.83,0.83,0.897,0.896,0.01562,40,2,918,12,36840,43.95966,13.98935
Gradient Boosting,0,6,0,0,0.1,10,0,0,0,0,0.0,0,0,0.95,0.949,0.897,0.896,0.038,40,2,918,12,35921,43.95966,13.98935
Gradient Boosting,0,4,0,0,0.1,20,0,0,0,0,0.0,0,0,0.914,0.914,0.891,0.891,0.038,40,2,918,12,35921,43.95966,13.98935
K Nearest Neighbors,0,0,0,0,0.0,0,16,manhattan,0,0,0.0,0,0,0.864,0.864,0.891,0.891,0.00199,40,2,918,12,36840,43.95966,13.98935
Decision Tree,gini,4,16,log2,0.0,0,0,0,0,0,0.0,0,0,0.846,0.846,0.891,0.892,0.001,40,2,918,12,36840,43.95966,13.98935
Random Forest ,gini,2,10,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.853,0.852,0.891,0.891,0.08236,40,2,918,12,36840,43.95966,13.98935
SVC,0,0,0,0,0.0,0,0,0,0,0,0.18,0,linear,0.85,0.85,0.891,0.891,0.00798,40,2,918,12,36840,43.95966,13.98935
Decision Tree,entropy,3,2,,0.0,0,0,0,0,0,0.0,0,0,0.856,0.855,0.886,0.885,0.00199,40,2,918,12,36840,43.95966,13.98935
Gradient Boosting,0,4,0,0,0.1,60,0,0,0,0,0.0,0,0,0.965,0.965,0.886,0.885,0.109,40,2,918,12,35921,43.95966,13.98935
Random Forest ,gini,1,8,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.845,0.844,0.886,0.886,0.07077,40,2,918,12,36840,43.95966,13.98935
SVC,0,0,0,0,0.0,0,0,0,0,0,0.07,0,poly,0.871,0.87,0.886,0.885,0.00898,40,2,918,12,36840,43.95966,13.98935
Decision Tree,gini,1,10,,0.0,0,0,0,0,0,0.0,0,0,0.797,0.797,0.88,0.88,0.001,40,2,918,12,36840,43.95966,13.98935
SVC,0,0,0,0,0.0,0,0,0,0,0,0.09,0,poly,0.875,0.874,0.88,0.88,0.00898,40,2,918,12,36840,43.95966,13.98935
K Nearest Neighbors,0,0,0,0,0.0,0,7,minkowski,0,0,0.0,0,0,0.873,0.873,0.88,0.88,0.002,40,2,918,12,36840,43.95966,13.98935
