model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest ,gini,18,7,sqrt,0.0,150,0,0,0,0,0.0,0,0,0.99,0.99,0.99,0.99,0.346,21,2,1000,11,197552,0.31865,1.7658
SVC,0,0,0,0,0.0,0,0,0,0,0,1.5,0,poly,0.959,0.959,0.975,0.975,0.04388,21,2,55692,27,197552,1078.1662,608.67035
SVC,0,0,0,0,0.0,0,0,0,0,0,0.3,0,rbf,0.934,0.934,0.97,0.97,0.00997,21,2,55692,27,197552,1078.1662,608.67035
Random Forest ,gini,12,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.999,0.999,0.97,0.97,0.107,21,2,1000,11,197552,0.31865,1.7658
K Nearest Neighbors,0,0,0,0,0.0,0,5,chebyshev,0,0,0.0,0,0,0.966,0.966,0.97,0.97,0.00199,21,2,1000,11,197552,0.31865,1.7658
K Nearest Neighbors,0,0,0,0,0.0,0,5,minkowski,0,0,0.0,0,0,0.961,0.961,0.965,0.965,0.00516,21,2,1000,11,197552,0.31865,1.7658
Decision Tree,entropy,38,5,,0.0,0,0,0,0,0,0.0,0,0,0.982,0.982,0.965,0.965,0.00698,21,2,1000,11,197552,0.31865,1.7658
Random Forest ,gini,10,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.984,0.984,0.965,0.965,0.096,21,2,1000,11,197552,0.31865,1.7658
Decision Tree,entropy,32,8,,0.0,0,0,0,0,0,0.0,0,0,0.986,0.986,0.96,0.96,0.00701,21,2,1000,11,197552,0.31865,1.7658
Random Forest ,gini,8,11,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.97,0.97,0.96,0.96,0.125,21,2,1000,11,197552,0.31865,1.7658
K Nearest Neighbors,0,0,0,0,0.0,0,5,euclidean,0,0,0.0,0,0,0.96,0.96,0.96,0.96,0.00199,21,2,1000,11,197552,0.31865,1.7658
K Nearest Neighbors,0,0,0,0,0.0,0,6,minkowski,0,0,0.0,0,0,0.956,0.956,0.955,0.955,0.00199,21,2,1000,11,197552,0.31865,1.7658
Random Forest ,gini,5,19,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.945,0.945,0.955,0.955,0.10296,21,2,1000,11,197552,0.31865,1.7658
Decision Tree,gini,6,12,,0.0,0,0,0,0,0,0.0,0,0,0.949,0.949,0.955,0.955,0.00499,21,2,1000,11,197552,0.31865,1.7658
SVC,0,0,0,0,0.0,0,0,0,0,0,0.2,0,poly,0.958,0.957,0.955,0.955,0.01596,21,2,55692,27,197552,1078.1662,608.67035
Gradient Boosting,0,5,0,0,0.1,50,0,0,0,0,0.0,0,0,0.995,0.995,0.95,0.95,0.40023,21,2,1000,11,196551,0.31865,1.7658
Random Forest ,gini,4,7,log2,0.0,50,0,0,0,0,0.0,0,0,0.935,0.935,0.95,0.95,0.119,21,2,1000,11,197552,0.31865,1.7658
Decision Tree,entropy,5,2,log2,0.0,0,0,0,0,0,0.0,0,0,0.928,0.927,0.95,0.95,0.00299,21,2,1000,11,197552,0.31865,1.7658
Decision Tree,gini,4,10,log2,0.0,0,0,0,0,0,0.0,0,0,0.908,0.907,0.945,0.945,0.00199,21,2,1000,11,197552,0.31865,1.7658
Random Forest ,gini,4,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.93,0.93,0.945,0.945,0.1,21,2,1000,11,197552,0.31865,1.7658
SVC,0,0,0,0,0.0,0,0,0,0,0,0.2,0,rbf,0.925,0.925,0.945,0.945,0.00896,21,2,55692,27,197552,1078.1662,608.67035
Random Forest ,gini,3,19,log2,0.0,50,0,0,0,0,0.0,0,0,0.912,0.912,0.94,0.94,0.108,21,2,1000,11,197552,0.31865,1.7658
Decision Tree,gini,5,4,auto,0.0,0,0,0,0,0,0.0,0,0,0.94,0.94,0.94,0.94,0.002,21,2,1000,11,197552,0.31865,1.7658
SVC,0,0,0,0,0.0,0,0,0,0,0,0.4,0,rbf,0.942,0.942,0.94,0.94,0.00798,21,2,55692,27,197552,1078.1662,608.67035
Random Forest ,gini,4,5,log2,0.0,50,0,0,0,0,0.0,0,0,0.936,0.936,0.935,0.935,0.131,21,2,1000,11,197552,0.31865,1.7658
Decision Tree,gini,3,7,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.898,0.897,0.935,0.935,0.00203,21,2,1000,11,197552,0.31865,1.7658
