model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest,gini,21,17,sqrt,0.0,150,0,0,0,0,0.0,0,0,0.912,0.913,1.0,1.0,0.19448,50,2,400,5,10926,3152264.152,21153.34903
Random Forest,gini,2,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.903,0.904,0.988,0.988,0.06383,50,2,400,5,10926,3152264.152,21153.34903
Decision Tree,gini,2,7,,0.0,0,0,0,0,0,0.0,0,0,0.903,0.904,0.962,0.963,0.00299,50,2,400,5,10926,3152264.152,21153.34903
SVC,0,0,0,0,0.0,0,0,0,0,0,0.56,0,poly,0.881,0.881,0.962,0.962,0.00205,50,2,400,5,10926,3152264.152,21153.34903
Random Forest,gini,5,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.941,0.941,0.962,0.963,0.06682,50,2,400,5,10926,3152264.152,21153.34903
Logistic Regression,0,0,0,0,0.0,0,0,0,newton-cg,l2,1.9,1050,0,0.809,0.802,0.95,0.949,0.01016,50,2,400,5,10926,3152264.152,21153.34903
Decision Tree,gini,2,3,log2,0.0,0,0,0,0,0,0.0,0,0,0.906,0.908,0.95,0.95,0.001,50,2,400,5,10926,3152264.152,21153.34903
Random Forest,gini,2,1,log2,0.0,50,0,0,0,0,0.0,0,0,0.909,0.91,0.95,0.95,0.06483,50,2,400,5,10926,3152264.152,21153.34903
Random Forest,gini,3,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.925,0.926,0.938,0.938,0.06582,50,2,400,5,10926,3152264.152,21153.34903
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.6,350,0,0.831,0.826,0.938,0.938,0.00598,50,2,400,5,10926,3152264.152,21153.34903
