model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Decision Tree,entropy,8,14,log2,0.0,0,0,0,0,0,0.0,0,0,0.969,0.969,1.0,1.0,0.00196,28,2,569,32,125141,949177.7665,3906926.039
K Nearest Neighbors,0,0,0,0,0.0,0,10,euclidean,0,0,0.0,0,0,0.974,0.973,1.0,1.0,0.00103,28,2,569,32,125141,949177.7665,3906926.039
Random Forest ,gini,14,20,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.985,0.985,1.0,1.0,0.09676,28,2,569,32,125141,949177.7665,3906926.039
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.5,100,0,0.954,0.953,1.0,1.0,0.01562,28,2,569,33,125141,949177.7665,3906926.039
Decision Tree,entropy,6,1,,0.0,0,0,0,0,0,0.0,0,0,0.998,0.998,0.991,0.991,0.00801,28,2,569,32,125141,949177.7665,3906926.039
SVC,0,0,0,0,0.0,0,0,0,0,0,0.07,0,poly,0.976,0.976,0.991,0.991,0.00299,28,2,569,32,125141,949177.7665,3906926.039
K Nearest Neighbors,0,0,0,0,0.0,0,20,manhattan,0,0,0.0,0,0,0.963,0.962,0.991,0.991,0.00201,28,2,569,32,125141,949177.7665,3906926.039
Random Forest ,gini,5,10,log2,0.0,50,0,0,0,0,0.0,0,0,0.987,0.987,0.991,0.991,0.10472,28,2,569,32,125141,949177.7665,3906926.039
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.2,750,0,0.947,0.946,0.982,0.982,0.01562,28,2,569,33,125141,949177.7665,3906926.039
K Nearest Neighbors,0,0,0,0,0.0,0,5,chebyshev,0,0,0.0,0,0,0.954,0.953,0.982,0.982,0.001,28,2,569,32,125141,949177.7665,3906926.039
Random Forest ,gini,3,12,log2,0.0,50,0,0,0,0,0.0,0,0,0.976,0.976,0.982,0.982,0.09973,28,2,569,32,125141,949177.7665,3906926.039
SVC,0,0,0,0,0.0,0,0,0,0,0,0.05,0,poly,0.978,0.978,0.982,0.982,0.00299,28,2,569,32,125141,949177.7665,3906926.039
Gradient Boosting,0,5,0,0,0.1,10,0,0,0,0,0.0,0,0,0.996,0.996,0.982,0.982,0.104,28,2,569,32,124571,949177.7665,3906926.039
Decision Tree,entropy,3,5,auto,0.0,0,0,0,0,0,0.0,0,0,0.96,0.96,0.982,0.982,0.00199,28,2,569,32,125141,949177.7665,3906926.039
Random Forest ,gini,2,12,log2,0.0,50,0,0,0,0,0.0,0,0,0.958,0.958,0.974,0.974,0.13364,28,2,569,32,125141,949177.7665,3906926.039
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,400,0,0.932,0.93,0.974,0.973,0.01562,28,2,569,33,125141,949177.7665,3906926.039
SVC,0,0,0,0,0.0,0,0,0,0,0,0.03,0,linear,0.93,0.928,0.974,0.973,0.00499,28,2,569,32,125141,949177.7665,3906926.039
K Nearest Neighbors,0,0,0,0,0.0,0,9,manhattan,0,0,0.0,0,0,0.969,0.969,0.974,0.973,0.001,28,2,569,32,125141,949177.7665,3906926.039
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,1500,0,0.934,0.933,0.965,0.965,0.0,28,2,569,33,125141,949177.7665,3906926.039
K Nearest Neighbors,0,0,0,0,0.0,0,5,manhattan,0,0,0.0,0,0,0.98,0.98,0.965,0.964,0.001,28,2,569,32,125141,949177.7665,3906926.039
SVC,0,0,0,0,0.0,0,0,0,0,0,0.01,0,poly,0.949,0.949,0.965,0.964,0.00298,28,2,569,32,125141,949177.7665,3906926.039
Random Forest ,gini,2,6,log2,0.0,50,0,0,0,0,0.0,0,0,0.956,0.956,0.965,0.965,0.09574,28,2,569,32,125141,949177.7665,3906926.039
Decision Tree,gini,1,4,auto,0.0,0,0,0,0,0,0.0,0,0,0.903,0.904,0.965,0.965,0.001,28,2,569,32,125141,949177.7665,3906926.039
Random Forest ,gini,2,2,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.96,0.96,0.956,0.956,0.11482,28,2,569,32,125141,949177.7665,3906926.039
K Nearest Neighbors,0,0,0,0,0.0,0,5,euclidean,0,0,0.0,0,0,0.982,0.982,0.956,0.956,0.00102,28,2,569,32,125141,949177.7665,3906926.039
NaiveBayes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.943,0.943,0.956,0.955,0.002,28,2,569,32,124571,949177.7665,3906926.039
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,1200,0,0.936,0.935,0.956,0.955,0.0,28,2,569,33,125141,949177.7665,3906926.039
Gradient Boosting,0,7,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.947,0.947,0.098,28,2,569,32,124571,949177.7665,3906926.039
K Nearest Neighbors,0,0,0,0,0.0,0,5,minkowski,0,0,0.0,0,0,0.985,0.985,0.947,0.947,0.001,28,2,569,32,125141,949177.7665,3906926.039
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,150,0,0.938,0.937,0.947,0.946,0.01562,28,2,569,33,125141,949177.7665,3906926.039
Decision Tree,entropy,1,2,auto,0.0,0,0,0,0,0,0.0,0,0,0.914,0.912,0.947,0.947,0.001,28,2,569,32,125141,949177.7665,3906926.039
SVC,0,0,0,0,0.0,0,0,0,0,0,0.02,0,poly,0.963,0.962,0.947,0.947,0.00303,28,2,569,32,125141,949177.7665,3906926.039
