model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
SVC,0,0,0,0,0.0,0,0,0,0,0,1.67,0,poly,1.0,1.0,0.976,0.976,0.00299,35,2,207,61,87984,0.28431,0.14818
Random Forest ,gini,6,16,log2,0.0,50,0,0,0,0,0.0,0,0,0.976,0.976,0.976,0.976,0.1038,35,2,207,61,87984,0.28431,0.14818
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.6,1000,0,0.855,0.855,0.952,0.952,0.0,35,2,207,61,87984,0.28431,0.14818
Random Forest ,gini,3,18,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.964,0.964,0.952,0.952,0.10272,35,2,207,61,87984,0.28431,0.14818
SVC,0,0,0,0,0.0,0,0,0,0,0,0.16,0,poly,0.939,0.94,0.929,0.929,0.00299,35,2,207,61,87984,0.28431,0.14818
Decision Tree,entropy,16,6,,0.0,0,0,0,0,0,0.0,0,0,0.982,0.982,0.929,0.928,0.00598,35,2,207,61,87984,0.28431,0.14818
Random Forest ,gini,3,16,log2,0.0,50,0,0,0,0,0.0,0,0,0.952,0.951,0.929,0.928,0.08776,35,2,207,61,87984,0.28431,0.14818
SVC,0,0,0,0,0.0,0,0,0,0,0,0.31,0,poly,0.945,0.945,0.905,0.905,0.002,35,2,207,61,87984,0.28431,0.14818
Random Forest ,gini,4,8,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.982,0.982,0.905,0.905,0.10372,35,2,207,61,87984,0.28431,0.14818
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,250,0,0.812,0.812,0.905,0.905,0.0,35,2,207,61,87984,0.28431,0.14818
Decision Tree,gini,4,16,,0.0,0,0,0,0,0,0.0,0,0,0.891,0.891,0.905,0.905,0.00399,35,2,207,61,87984,0.28431,0.14818
Decision Tree,entropy,4,11,,0.0,0,0,0,0,0,0.0,0,0,0.885,0.883,0.881,0.881,0.00502,35,2,207,61,87984,0.28431,0.14818
Random Forest ,gini,3,6,log2,0.0,50,0,0,0,0,0.0,0,0,0.945,0.945,0.881,0.879,0.1107,35,2,207,61,87984,0.28431,0.14818
SVC,0,0,0,0,0.0,0,0,0,0,0,0.02,0,poly,0.836,0.837,0.881,0.88,0.00303,35,2,207,61,87984,0.28431,0.14818
Random Forest ,gini,2,16,log2,0.0,50,0,0,0,0,0.0,0,0,0.879,0.877,0.857,0.855,0.09774,35,2,207,61,87984,0.28431,0.14818
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,1150,0,0.83,0.83,0.857,0.859,0.0,35,2,207,61,87984,0.28431,0.14818
SVC,0,0,0,0,0.0,0,0,0,0,0,0.14,0,poly,0.952,0.952,0.857,0.854,0.00199,35,2,207,61,87984,0.28431,0.14818
K Nearest Neighbors,0,0,0,0,0.0,0,8,chebyshev,0,0,0.0,0,0,0.818,0.815,0.857,0.859,0.001,35,2,207,61,87984,0.28431,0.14818
Decision Tree,gini,1,16,auto,0.0,0,0,0,0,0,0.0,0,0,0.721,0.72,0.833,0.834,0.00199,35,2,207,61,87984,0.28431,0.14818
K Nearest Neighbors,0,0,0,0,0.0,0,5,manhattan,0,0,0.0,0,0,0.885,0.884,0.833,0.832,0.00103,35,2,207,61,87984,0.28431,0.14818
SVC,0,0,0,0,0.0,0,0,0,0,0,0.06,0,linear,0.788,0.788,0.833,0.833,0.00199,35,2,207,61,87984,0.28431,0.14818
K Nearest Neighbors,0,0,0,0,0.0,0,7,minkowski,0,0,0.0,0,0,0.861,0.858,0.81,0.81,0.00103,35,2,207,61,87984,0.28431,0.14818
Random Forest ,gini,1,4,log2,0.0,50,0,0,0,0,0.0,0,0,0.836,0.833,0.81,0.798,0.12069,35,2,207,61,87984,0.28431,0.14818
Decision Tree,gini,1,11,,0.0,0,0,0,0,0,0.0,0,0,0.745,0.744,0.81,0.81,0.00199,35,2,207,61,87984,0.28431,0.14818
SVC,0,0,0,0,0.0,0,0,0,0,0,0.07,0,poly,0.927,0.927,0.81,0.81,0.00299,35,2,207,61,87984,0.28431,0.14818
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,0.97,0.97,0.786,0.786,0.04802,35,2,207,61,87776,0.28431,0.14818
Random Forest ,gini,1,6,log2,0.0,50,0,0,0,0,0.0,0,0,0.812,0.805,0.786,0.781,0.08577,35,2,207,61,87984,0.28431,0.14818
