model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest,gini,20,19,log2,0.0,210,0,0,0,0,0.0,0,0,0.907,0.904,1.0,1.0,0.25634,45,2,215,13,16393,26.1191,4.04385
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.6,100,0,0.855,0.845,1.0,1.0,0.00397,45,2,215,13,16393,26.1191,4.04385
Decision Tree,entropy,6,11,,0.0,0,0,0,0,0,0.0,0,0,0.924,0.923,0.977,0.976,0.001,45,2,215,13,16393,26.1191,4.04385
Random Forest,gini,7,19,sqrt,0.0,70,0,0,0,0,0.0,0,0,0.919,0.916,0.977,0.976,0.08976,45,2,215,13,16393,26.1191,4.04385
Decision Tree,entropy,2,7,auto,0.0,0,0,0,0,0,0.0,0,0,0.797,0.773,0.953,0.952,0.00103,45,2,215,13,16393,26.1191,4.04385
SVC,0,0,0,0,0.0,0,0,0,0,0,0.12,0,linear,0.837,0.826,0.953,0.953,0.001,45,2,215,13,16393,26.1191,4.04385
Random Forest,gini,6,11,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.93,0.929,0.953,0.953,0.06981,45,2,215,13,16393,26.1191,4.04385
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.2,1300,0,0.802,0.782,0.953,0.951,0.00299,45,2,215,13,16393,26.1191,4.04385
SVC,0,0,0,0,0.0,0,0,0,0,0,0.33,0,linear,0.878,0.871,0.93,0.93,0.00201,45,2,215,13,16393,26.1191,4.04385
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.2,450,0,0.82,0.8,0.93,0.929,0.00395,45,2,215,13,16393,26.1191,4.04385
Random Forest,gini,2,3,log2,0.0,50,0,0,0,0,0.0,0,0,0.866,0.856,0.93,0.926,0.06184,45,2,215,13,16393,26.1191,4.04385
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.2,300,0,0.837,0.824,0.907,0.902,0.00402,45,2,215,13,16393,26.1191,4.04385
Gradient Boosting,0,6,0,0,0.1,10,0,0,0,0,0.0,0,0,0.994,0.994,0.907,0.9,0.01903,45,2,215,13,16393,26.1191,4.04385
SVC,0,0,0,0,0.0,0,0,0,0,0,0.23,0,linear,0.866,0.856,0.907,0.904,0.00091,45,2,215,13,16393,26.1191,4.04385
Decision Tree,entropy,1,5,auto,0.0,0,0,0,0,0,0.0,0,0,0.773,0.779,0.907,0.902,0.00102,45,2,215,13,16393,26.1191,4.04385
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.2,350,0,0.831,0.817,0.884,0.881,0.00403,45,2,215,13,16393,26.1191,4.04385
Decision Tree,gini,1,13,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.785,0.75,0.884,0.877,0.00103,45,2,215,13,16393,26.1191,4.04385
SVC,0,0,0,0,0.0,0,0,0,0,0,0.28,0,poly,0.93,0.929,0.884,0.882,0.002,45,2,215,13,16393,26.1191,4.04385
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,0.919,0.916,0.884,0.88,0.01249,45,2,215,13,16393,26.1191,4.04385
NaiveBayes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.837,0.836,0.884,0.885,0.00196,45,2,215,13,16393,26.1191,4.04385
SVC,0,0,0,0,0.0,0,0,0,0,0,0.08,0,poly,0.884,0.879,0.86,0.855,0.00298,45,2,215,13,16393,26.1191,4.04385
Random Forest,gini,1,13,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.814,0.788,0.86,0.84,0.06383,45,2,215,13,16393,26.1191,4.04385
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.2,400,0,0.814,0.799,0.86,0.844,0.00303,45,2,215,13,16393,26.1191,4.04385
SVC,0,0,0,0,0.0,0,0,0,0,0,0.01,0,rbf,0.651,0.514,0.837,0.763,0.00199,45,2,215,13,16393,26.1191,4.04385
Decision Tree,gini,1,1,log2,0.0,0,0,0,0,0,0.0,0,0,0.762,0.764,0.837,0.847,0.00103,45,2,215,13,16393,26.1191,4.04385
Gradient Boosting,0,4,0,0,0.1,10,0,0,0,0,0.0,0,0,0.953,0.953,0.837,0.826,0.01553,45,2,215,13,16393,26.1191,4.04385
Random Forest,gini,1,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.785,0.747,0.837,0.807,0.06184,45,2,215,13,16393,26.1191,4.04385
Gradient Boosting,0,8,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.814,0.81,0.01617,45,2,215,13,16393,26.1191,4.04385
K Nearest Neighbors,0,0,0,0,0.0,0,5,euclidean,0,0,0.0,0,0,0.802,0.792,0.814,0.801,0.001,45,2,215,13,16393,26.1191,4.04385
Decision Tree,gini,1,2,,0.0,0,0,0,0,0,0.0,0,0,0.831,0.817,0.814,0.791,0.001,45,2,215,13,16393,26.1191,4.04385
SVC,0,0,0,0,0.0,0,0,0,0,0,0.03,0,rbf,0.657,0.521,0.814,0.73,0.002,45,2,215,13,16393,26.1191,4.04385
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,200,0,0.727,0.657,0.814,0.771,0.00299,45,2,215,13,16393,26.1191,4.04385
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,300,0,0.756,0.708,0.791,0.718,0.00304,45,2,215,13,16393,26.1191,4.04385
SVC,0,0,0,0,0.0,0,0,0,0,0,0.01,0,sigmoid,0.663,0.528,0.791,0.698,0.00203,45,2,215,13,16393,26.1191,4.04385
K Nearest Neighbors,0,0,0,0,0.0,0,9,minkowski,0,0,0.0,0,0,0.779,0.767,0.791,0.763,0.00203,45,2,215,13,16393,26.1191,4.04385
Random Forest,gini,1,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.826,0.802,0.791,0.749,0.06582,45,2,215,13,16393,26.1191,4.04385
K Nearest Neighbors,0,0,0,0,0.0,0,6,euclidean,0,0,0.0,0,0,0.814,0.817,0.767,0.773,0.00103,45,2,215,13,16393,26.1191,4.04385
SVC,0,0,0,0,0.0,0,0,0,0,0,0.02,0,sigmoid,0.669,0.536,0.767,0.666,0.00199,45,2,215,13,16393,26.1191,4.04385
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,1050,0,0.715,0.636,0.767,0.686,0.00399,45,2,215,13,16393,26.1191,4.04385
Random Forest,gini,1,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.843,0.827,0.767,0.711,0.06283,45,2,215,13,16393,26.1191,4.04385
Decision Tree,gini,1,1,auto,0.0,0,0,0,0,0,0.0,0,0,0.814,0.787,0.767,0.74,0.001,45,2,215,13,16393,26.1191,4.04385
Gradient Boosting,0,5,0,0,0.1,10,0,0,0,0,0.0,0,0,0.971,0.971,0.744,0.697,0.02505,45,2,215,13,16393,26.1191,4.04385
Decision Tree,gini,1,6,log2,0.0,0,0,0,0,0,0.0,0,0,0.82,0.797,0.744,0.691,0.00098,45,2,215,13,16393,26.1191,4.04385
Random Forest,gini,1,13,log2,0.0,50,0,0,0,0,0.0,0,0,0.802,0.762,0.744,0.711,0.06283,45,2,215,13,16393,26.1191,4.04385
K Nearest Neighbors,0,0,0,0,0.0,0,6,minkowski,0,0,0.0,0,0,0.826,0.827,0.744,0.738,0.001,45,2,215,13,16393,26.1191,4.04385
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,1000,0,0.709,0.618,0.744,0.67,0.00299,45,2,215,13,16393,26.1191,4.04385
SVC,0,0,0,0,0.0,0,0,0,0,0,0.07,0,rbf,0.674,0.543,0.744,0.635,0.002,45,2,215,13,16393,26.1191,4.04385
Decision Tree,gini,1,3,,0.0,0,0,0,0,0,0.0,0,0,0.855,0.842,0.721,0.691,0.00096,45,2,215,13,16393,26.1191,4.04385
SVC,0,0,0,0,0.0,0,0,0,0,0,0.01,0,poly,0.68,0.551,0.721,0.604,0.00203,45,2,215,13,16393,26.1191,4.04385
K Nearest Neighbors,0,0,0,0,0.0,0,5,minkowski,0,0,0.0,0,0,0.82,0.814,0.721,0.733,0.001,45,2,215,13,16393,26.1191,4.04385
