model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest,gini,23,11,log2,0.0,70,0,0,0,0,0.0,0,0,0.936,0.934,0.953,0.952,0.08976,51,6,214,10,10053,10.4173,0.83096
Random Forest,gini,13,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,1.0,1.0,0.907,0.897,0.07979,51,6,214,10,10053,10.4173,0.83096
Decision Tree,gini,5,11,,0.0,0,0,0,0,0,0.0,0,0,0.795,0.796,0.884,0.881,0.00199,51,6,214,10,10053,10.4173,0.83096
Random Forest,gini,8,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.994,0.994,0.884,0.871,0.06582,51,6,214,10,10053,10.4173,0.83096
Decision Tree,gini,16,2,,0.0,0,0,0,0,0,0.0,0,0,1.0,1.0,0.86,0.87,0.00199,51,6,214,10,10053,10.4173,0.83096
Random Forest,gini,4,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.813,0.776,0.86,0.839,0.06582,51,6,214,10,10053,10.4173,0.83096
Decision Tree,gini,6,6,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.889,0.887,0.837,0.839,0.001,51,6,214,10,10053,10.4173,0.83096
SVC,0,0,0,0,0.0,0,0,0,0,0,0.29,0,poly,0.731,0.705,0.837,0.826,0.00302,51,6,214,10,10053,10.4173,0.83096
Random Forest,gini,8,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.988,0.988,0.837,0.835,0.06682,51,6,214,10,10053,10.4173,0.83096
Random Forest,gini,5,7,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.877,0.845,0.814,0.783,0.06982,51,6,214,10,10053,10.4173,0.83096
Decision Tree,gini,3,20,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.655,0.609,0.814,0.792,0.001,51,6,214,10,10053,10.4173,0.83096
SVC,0,0,0,0,0.0,0,0,0,0,0,1.42,0,rbf,0.737,0.711,0.814,0.767,0.00196,51,6,214,10,10053,10.4173,0.83096
Decision Tree,gini,3,17,,0.0,0,0,0,0,0,0.0,0,0,0.702,0.659,0.791,0.761,0.00102,51,6,214,10,10053,10.4173,0.83096
SVC,0,0,0,0,0.0,0,0,0,0,0,0.92,0,poly,0.784,0.758,0.791,0.768,0.00205,51,6,214,10,10053,10.4173,0.83096
Random Forest,gini,1,9,log2,0.0,50,0,0,0,0,0.0,0,0,0.596,0.535,0.791,0.742,0.08178,51,6,214,10,10053,10.4173,0.83096
K Nearest Neighbors,0,0,0,0,0.0,0,5,chebyshev,0,0,0.0,0,0,0.713,0.693,0.791,0.746,0.001,51,6,214,10,10053,10.4173,0.83096
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.8,1950,0,0.62,0.57,0.791,0.77,0.01563,51,6,214,10,10053,10.4173,0.83096
Gradient Boosting,0,4,0,0,0.1,10,0,0,0,0,0.0,0,0,0.965,0.964,0.767,0.758,0.08559,51,6,214,10,10053,10.4173,0.83096
Random Forest,gini,3,17,log2,0.0,50,0,0,0,0,0.0,0,0,0.713,0.67,0.767,0.724,0.06483,51,6,214,10,10053,10.4173,0.83096
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,1.3,1000,0,0.596,0.538,0.767,0.739,0.0,51,6,214,10,10053,10.4173,0.83096
Random Forest,gini,2,15,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.655,0.589,0.744,0.701,0.06582,51,6,214,10,10053,10.4173,0.83096
K Nearest Neighbors,0,0,0,0,0.0,0,8,euclidean,0,0,0.0,0,0,0.708,0.675,0.744,0.728,0.0,51,6,214,10,10053,10.4173,0.83096
Gradient Boosting,0,7,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.744,0.748,0.14451,51,6,214,10,10053,10.4173,0.83096
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.2,1650,0,0.538,0.482,0.744,0.715,0.0,51,6,214,10,10053,10.4173,0.83096
SVC,0,0,0,0,0.0,0,0,0,0,0,0.33,0,poly,0.766,0.744,0.744,0.724,0.00203,51,6,214,10,10053,10.4173,0.83096
Decision Tree,gini,3,15,,0.0,0,0,0,0,0,0.0,0,0,0.708,0.664,0.744,0.709,0.002,51,6,214,10,10053,10.4173,0.83096
K Nearest Neighbors,0,0,0,0,0.0,0,5,manhattan,0,0,0.0,0,0,0.795,0.785,0.721,0.705,0.001,51,6,214,10,10053,10.4173,0.83096
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.4,1300,0,0.585,0.537,0.721,0.661,0.01562,51,6,214,10,10053,10.4173,0.83096
Decision Tree,gini,2,1,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.596,0.535,0.721,0.658,0.001,51,6,214,10,10053,10.4173,0.83096
SVC,0,0,0,0,0.0,0,0,0,0,0,0.15,0,rbf,0.626,0.562,0.721,0.676,0.002,51,6,214,10,10053,10.4173,0.83096
Random Forest,gini,2,9,log2,0.0,50,0,0,0,0,0.0,0,0,0.649,0.578,0.721,0.68,0.06882,51,6,214,10,10053,10.4173,0.83096
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,0.924,0.923,0.721,0.7,0.07808,51,6,214,10,10053,10.4173,0.83096
