model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Gradient Boosting,0,9,0,0,0.1,10,0,0,0,0,0.0,0,0,0.985,0.985,0.985,0.985,0.10709,37,2,667,20,56329,76.78543,17.49498
Decision Tree,entropy,26,9,log2,0.0,0,0,0,0,0,0.0,0,0,0.957,0.954,0.985,0.985,0.00299,37,2,667,20,56997,76.78543,17.49498
Random Forest ,gini,21,8,log2,0.0,50,0,0,0,0,0.0,0,0,0.979,0.979,0.985,0.985,0.0679,37,2,667,20,56997,76.78543,17.49498
Random Forest ,entropy,18,8,log2,0.0,250,0,0,0,0,0.0,0,0,0.983,0.983,0.978,0.976,0.32903,37,2,667,20,56997,76.78543,17.49498
Decision Tree,gini,8,10,auto,0.0,0,0,0,0,0,0.0,0,0,0.94,0.936,0.978,0.977,0.002,37,2,667,20,56997,76.78543,17.49498
Decision Tree,gini,3,1,,0.0,0,0,0,0,0,0.0,0,0,0.916,0.904,0.97,0.969,0.00303,37,2,667,20,56997,76.78543,17.49498
Random Forest ,gini,5,12,log2,0.0,50,0,0,0,0,0.0,0,0,0.919,0.908,0.963,0.96,0.06938,37,2,667,20,56997,76.78543,17.49498
Decision Tree,entropy,3,18,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.902,0.888,0.963,0.958,0.001,37,2,667,20,56997,76.78543,17.49498
SVC,0,0,0,0,0.0,0,0,0,0,0,1.66,0,poly,0.953,0.951,0.955,0.959,0.01197,37,2,667,20,56997,76.78543,17.49498
Random Forest ,gini,9,10,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.976,0.975,0.955,0.951,0.06596,37,2,667,20,56997,76.78543,17.49498
Decision Tree,gini,3,19,,0.0,0,0,0,0,0,0.0,0,0,0.917,0.906,0.955,0.955,0.00299,37,2,667,20,56997,76.78543,17.49498
Decision Tree,gini,4,15,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.932,0.927,0.948,0.945,0.001,37,2,667,20,56997,76.78543,17.49498
Logistic Regression,0,0,0,0,0.0,0,0,0,newton-cg,l2,1.6,100,0,0.846,0.804,0.948,0.936,0.02394,37,2,667,21,56997,76.78543,17.49498
SVC,0,0,0,0,0.0,0,0,0,0,0,0.31,0,poly,0.929,0.923,0.948,0.947,0.00698,37,2,667,20,56997,76.78543,17.49498
Random Forest ,gini,4,6,log2,0.0,50,0,0,0,0,0.0,0,0,0.893,0.869,0.948,0.943,0.06702,37,2,667,20,56997,76.78543,17.49498
Gradient Boosting,0,5,0,0,0.1,50,0,0,0,0,0.0,0,0,0.998,0.998,0.94,0.944,0.26932,37,2,667,20,56329,76.78543,17.49498
Random Forest ,gini,5,4,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.934,0.927,0.94,0.931,0.07016,37,2,667,20,56997,76.78543,17.49498
SVC,0,0,0,0,0.0,0,0,0,0,0,0.09,0,poly,0.904,0.887,0.94,0.931,0.00499,37,2,667,20,56997,76.78543,17.49498
K Nearest Neighbors,0,0,0,0,0.0,0,13,minkowski,0,0,0.0,0,0,0.854,0.801,0.94,0.917,0.001,37,2,667,20,56997,76.78543,17.49498
Decision Tree,gini,2,1,sqrt,0.0,0,0,0,0,0,0.0,0,0,0.837,0.762,0.94,0.911,0.00203,37,2,667,20,56997,76.78543,17.49498
