model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest,gini,5,17,sqrt,0,90,0,0,0,0,0,0,0,0.952,0.95,1,1,0.12068,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,9,17,auto,0,0,0,0,0,0,0,0,0,0.933,0.932,1,1,0.00204,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,liblinear,l1,1.6,1600,0,0.913,0.909,1,1,0,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.61,0,poly,0.942,0.939,0.987,0.987,0.00395,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,22,19,log2,0,70,0,0,0,0,0,0,0,0.936,0.932,0.987,0.987,0.10373,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,1.5,1800,0,0.888,0.87,0.987,0.987,0,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,newton-cg,l2,1,400,0,0.881,0.858,0.974,0.974,0,42,2,390,16,29372,80.49856,25.50243
Decision Tree,entropy,7,18,,0,0,0,0,0,0,0,0,0,0.949,0.95,0.974,0.973,0.00203,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.47,0,poly,0.936,0.932,0.974,0.974,0.00301,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,5,9,log2,0,50,0,0,0,0,0,0,0,0.955,0.952,0.974,0.976,0.0768,42,2,390,16,29372,80.49856,25.50243
K Nearest Neighbors,0,0,0,0,0,0,6,minkowski,0,0,0,0,0,0.904,0.897,0.962,0.96,0.001,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.02,0,poly,0.917,0.907,0.962,0.958,0.002,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,5,3,log2,0,50,0,0,0,0,0,0,0,0.965,0.963,0.962,0.963,0.07979,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,2,,0,0,0,0,0,0,0,0,0,0.92,0.915,0.962,0.961,0.00203,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,1.1,550,0,0.885,0.861,0.962,0.959,0,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,5,13,log2,0,50,0,0,0,0,0,0,0,0.942,0.939,0.949,0.945,0.07879,42,2,390,16,29372,80.49856,25.50243
K Nearest Neighbors,0,0,0,0,0,0,15,manhattan,0,0,0,0,0,0.856,0.813,0.949,0.924,0.00199,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,3,5,sqrt,0,50,0,0,0,0,0,0,0,0.929,0.923,0.936,0.922,0.10771,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.14,0,poly,0.933,0.929,0.936,0.925,0.00305,42,2,390,16,29372,80.49856,25.50243
K Nearest Neighbors,0,0,0,0,0,0,10,chebyshev,0,0,0,0,0,0.901,0.884,0.936,0.929,0.001,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,1,,0,0,0,0,0,0,0,0,0,0.923,0.921,0.936,0.934,0.001,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.04,0,poly,0.923,0.917,0.923,0.919,0.00305,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,0.1,700,0,0.827,0.749,0.923,0.886,0.01566,42,2,390,16,29372,80.49856,25.50243
NaiveBayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.878,0.885,0.923,0.915,0.00201,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,9,sqrt,0,0,0,0,0,0,0,0,0,0.929,0.925,0.923,0.917,0.001,42,2,390,16,29372,80.49856,25.50243
K Nearest Neighbors,0,0,0,0,0,0,8,manhattan,0,0,0,0,0,0.885,0.86,0.923,0.914,0.001,42,2,390,16,29372,80.49856,25.50243
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0,0,0,0.949,0.945,0.923,0.905,0.0165,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,4,11,sqrt,0,50,0,0,0,0,0,0,0,0.949,0.945,0.923,0.911,0.07081,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.03,0,poly,0.91,0.898,0.91,0.905,0.00303,42,2,390,16,29372,80.49856,25.50243
K Nearest Neighbors,0,0,0,0,0,0,5,minkowski,0,0,0,0,0,0.894,0.878,0.91,0.894,0.00099,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,3,sqrt,0,0,0,0,0,0,0,0,0,0.83,0.753,0.91,0.867,0.001,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,2,1,log2,0,50,0,0,0,0,0,0,0,0.865,0.829,0.91,0.867,0.06582,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,0.1,1000,0,0.83,0.753,0.91,0.867,0.00499,42,2,390,16,29372,80.49856,25.50243
K Nearest Neighbors,0,0,0,0,0,0,6,euclidean,0,0,0,0,0,0.929,0.923,0.897,0.878,0.002,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,3,,0,0,0,0,0,0,0,0,0,0.936,0.933,0.897,0.886,0.00203,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.06,0,sigmoid,0.833,0.758,0.897,0.849,0.00296,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,1,7,sqrt,0,50,0,0,0,0,0,0,0,0.833,0.758,0.897,0.849,0.06682,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,0.1,300,0,0.837,0.762,0.885,0.83,0.01562,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.01,0,poly,0.907,0.893,0.885,0.864,0.00199,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,1,9,log2,0,50,0,0,0,0,0,0,0,0.837,0.762,0.885,0.83,0.06483,42,2,390,16,29372,80.49856,25.50243
K Nearest Neighbors,0,0,0,0,0,0,5,manhattan,0,0,0,0,0,0.897,0.879,0.885,0.854,0.001,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,1,5,log2,0,50,0,0,0,0,0,0,0,0.84,0.767,0.872,0.812,0.06483,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,0.1,350,0,0.84,0.767,0.872,0.812,0,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,2,log2,0,0,0,0,0,0,0,0,0,0.84,0.767,0.872,0.812,0.001,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.02,0,linear,0.84,0.767,0.872,0.812,0.00195,42,2,390,16,29372,80.49856,25.50243
K Nearest Neighbors,0,0,0,0,0,0,5,euclidean,0,0,0,0,0,0.91,0.9,0.872,0.843,0.00201,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,0.1,400,0,0.843,0.771,0.859,0.794,0,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,1,3,sqrt,0,50,0,0,0,0,0,0,0,0.843,0.771,0.859,0.794,0.06483,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,1,log2,0,0,0,0,0,0,0,0,0,0.942,0.939,0.859,0.853,0.001,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.01,0,sigmoid,0.843,0.771,0.859,0.794,0.00305,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,1,1,sqrt,0,50,0,0,0,0,0,0,0,0.846,0.776,0.846,0.776,0.07081,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.03,0,sigmoid,0.846,0.776,0.846,0.776,0.00301,42,2,390,16,29372,80.49856,25.50243
Gradient Boosting,0,8,0,0,0.1,10,0,0,0,0,0,0,0,1,1,0.846,0.846,0.03651,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,0.1,450,0,0.846,0.776,0.846,0.776,0.01561,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.01,0,rbf,0.849,0.78,0.833,0.758,0.00301,42,2,390,16,29372,80.49856,25.50243
K Nearest Neighbors,0,0,0,0,0,0,6,manhattan,0,0,0,0,0,0.913,0.904,0.833,0.796,0.00203,42,2,390,16,29372,80.49856,25.50243
Gradient Boosting,0,4,0,0,0.1,10,0,0,0,0,0,0,0,0.997,0.997,0.833,0.842,0.024,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,1,1,log2,0,50,0,0,0,0,0,0,0,0.849,0.78,0.833,0.758,0.06483,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,2,auto,0,0,0,0,0,0,0,0,0,0.849,0.78,0.833,0.758,0.00103,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,0.1,200,0,0.849,0.78,0.833,0.758,0,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,0.1,600,0,0.853,0.785,0.821,0.74,0.01562,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,1,15,log2,0,50,0,0,0,0,0,0,0,0.853,0.785,0.821,0.74,0.06882,42,2,390,16,29372,80.49856,25.50243
K Nearest Neighbors,0,0,0,0,0,0,19,minkowski,0,0,0,0,0,0.881,0.846,0.821,0.76,0.001,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,5,auto,0,0,0,0,0,0,0,0,0,0.853,0.785,0.821,0.74,0.00203,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.09,0,linear,0.853,0.785,0.821,0.74,0.00198,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,2,3,log2,0,50,0,0,0,0,0,0,0,0.878,0.836,0.808,0.733,0.06682,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,0.1,100,0,0.856,0.789,0.808,0.722,0.01557,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,1,sqrt,0,0,0,0,0,0,0,0,0,0.856,0.789,0.808,0.722,0.001,42,2,390,16,29372,80.49856,25.50243
K Nearest Neighbors,0,0,0,0,0,0,20,minkowski,0,0,0,0,0,0.869,0.813,0.808,0.742,0.00199,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.02,0,rbf,0.856,0.789,0.808,0.722,0.00301,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,1,3,sqrt,0,70,0,0,0,0,0,0,0,0.859,0.794,0.795,0.704,0.09275,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,0.1,1350,0,0.859,0.794,0.795,0.704,0,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.05,0,sigmoid,0.859,0.794,0.795,0.704,0.00301,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,5,sqrt,0,0,0,0,0,0,0,0,0,0.859,0.794,0.795,0.704,0.00103,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.14,0,linear,0.862,0.798,0.782,0.686,0.00303,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,0.1,1550,0,0.862,0.798,0.782,0.686,0,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,4,log2,0,0,0,0,0,0,0,0,0,0.862,0.798,0.782,0.686,0.001,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,1,11,log2,0,50,0,0,0,0,0,0,0,0.862,0.798,0.782,0.686,0.06682,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,2,15,log2,0,50,0,0,0,0,0,0,0,0.907,0.886,0.769,0.68,0.06882,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,1,1,auto,0,0,0,0,0,0,0,0,0,0.865,0.803,0.769,0.669,0.001,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,rbf,0.865,0.803,0.769,0.669,0.00201,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,1,9,log2,0,130,0,0,0,0,0,0,0,0.869,0.808,0.756,0.652,0.16755,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.15,0,sigmoid,0.869,0.808,0.756,0.652,0.00301,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,newton-cg,l2,0.2,1000,0,0.875,0.823,0.756,0.652,0.01562,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,2,5,sqrt,0,0,0,0,0,0,0,0,0,0.878,0.832,0.756,0.663,0.00103,42,2,390,16,29372,80.49856,25.50243
Logistic Regression,0,0,0,0,0,0,0,0,lbfgs,l2,0.1,250,0,0.872,0.812,0.744,0.634,0,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.65,0,sigmoid,0.811,0.761,0.744,0.711,0.00304,42,2,390,16,29372,80.49856,25.50243
Random Forest,gini,2,9,log2,0,110,0,0,0,0,0,0,0,0.904,0.878,0.744,0.656,0.16556,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,0.67,0,sigmoid,0.83,0.782,0.718,0.654,0.00305,42,2,390,16,29372,80.49856,25.50243
Decision Tree,gini,4,10,log2,0,0,0,0,0,0,0,0,0,0.881,0.857,0.718,0.683,0.001,42,2,390,16,29372,80.49856,25.50243
SVC,0,0,0,0,0,0,0,0,0,0,1.22,0,sigmoid,0.753,0.727,0.705,0.7,0.00395,42,2,390,16,29372,80.49856,25.50243
