model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest,gini,5,3,log2,0,50,0,0,0,0,0,0,0,0.996,0.996,1,1,0.07181,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,5,manhattan,0,0,0,0,0,0.994,0.994,1,1,0.00203,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,7,10,auto,0,0,0,0,0,0,0,0,0,0.991,0.991,1,1,0.001,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,8,manhattan,0,0,0,0,0,0.991,0.991,0.995,0.995,0.002,43,3,1059,8,26586,38.24378,2.3166
Gradient Boosting,0,8,0,0,0.1,10,0,0,0,0,0,0,0,1,1,0.995,0.995,0.15288,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,7,5,,0,0,0,0,0,0,0,0,0,0.993,0.993,0.995,0.995,0.001,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,7,10,,0,0,0,0,0,0,0,0,0,0.994,0.994,0.991,0.991,0.001,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,5,minkowski,0,0,0,0,0,0.992,0.992,0.991,0.991,0.002,43,3,1059,8,26586,38.24378,2.3166
Gradient Boosting,0,7,0,0,0.1,10,0,0,0,0,0,0,0,0.995,0.995,0.991,0.99,0.13095,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,5,11,sqrt,0,50,0,0,0,0,0,0,0,0.998,0.998,0.991,0.991,0.06981,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,5,euclidean,0,0,0,0,0,0.998,0.998,0.986,0.986,0.001,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,6,16,log2,0,0,0,0,0,0,0,0,0,0.982,0.982,0.986,0.986,0.001,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,4,7,sqrt,0,50,0,0,0,0,0,0,0,0.935,0.933,0.986,0.986,0.09674,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,5,chebyshev,0,0,0,0,0,0.995,0.995,0.981,0.981,0.00203,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,7,11,log2,0,50,0,0,0,0,0,0,0,0.999,0.999,0.981,0.981,0.07181,43,3,1059,8,26586,38.24378,2.3166
Gradient Boosting,0,3,0,0,0.1,30,0,0,0,0,0,0,0,0.999,0.999,0.981,0.981,0.34889,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,7,1,auto,0,0,0,0,0,0,0,0,0,0.98,0.98,0.981,0.981,0.001,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,entropy,6,3,auto,0,0,0,0,0,0,0,0,0,0.952,0.952,0.976,0.976,0.00199,43,3,1059,8,26586,38.24378,2.3166
SVC,0,0,0,0,0,0,0,0,0,0,1.73,0,poly,0.945,0.945,0.976,0.977,0.00698,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,8,chebyshev,0,0,0,0,0,0.989,0.989,0.976,0.976,0.002,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,6,18,sqrt,0,0,0,0,0,0,0,0,0,0.945,0.945,0.972,0.972,0.00199,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,5,3,log2,0,150,0,0,0,0,0,0,0,0.957,0.957,0.972,0.971,0.20844,43,3,1059,8,26586,38.24378,2.3166
Gradient Boosting,0,5,0,0,0.1,10,0,0,0,0,0,0,0,0.978,0.977,0.972,0.971,0.10073,43,3,1059,8,26586,38.24378,2.3166
Gradient Boosting,0,3,0,0,0.1,20,0,0,0,0,0,0,0,0.97,0.97,0.967,0.967,0.23709,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,5,17,sqrt,0,90,0,0,0,0,0,0,0,0.959,0.958,0.967,0.967,0.12666,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,16,minkowski,0,0,0,0,0,0.96,0.96,0.967,0.967,0.002,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,7,2,log2,0,0,0,0,0,0,0,0,0,0.966,0.966,0.962,0.963,0.00199,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,13,minkowski,0,0,0,0,0,0.97,0.971,0.962,0.963,0.00199,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,entropy,5,12,sqrt,0,0,0,0,0,0,0,0,0,0.908,0.904,0.958,0.956,0.001,43,3,1059,8,26586,38.24378,2.3166
SVC,0,0,0,0,0,0,0,0,0,0,1.34,0,poly,0.948,0.949,0.958,0.958,0.00997,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,5,1,sqrt,0,50,0,0,0,0,0,0,0,0.942,0.941,0.953,0.952,0.07181,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,14,minkowski,0,0,0,0,0,0.972,0.972,0.953,0.953,0.00199,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,entropy,5,13,,0,0,0,0,0,0,0,0,0,0.896,0.89,0.953,0.951,0.001,43,3,1059,8,26586,38.24378,2.3166
SVC,0,0,0,0,0,0,0,0,0,0,1.05,0,poly,0.949,0.95,0.953,0.954,0.00798,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,6,9,auto,0,0,0,0,0,0,0,0,0,0.97,0.97,0.948,0.946,0.001,43,3,1059,8,26586,38.24378,2.3166
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0,0,0,0.979,0.979,0.948,0.948,0.06971,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,11,euclidean,0,0,0,0,0,0.981,0.981,0.948,0.949,0.00199,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,4,1,log2,0,50,0,0,0,0,0,0,0,0.922,0.921,0.948,0.947,0.07181,43,3,1059,8,26586,38.24378,2.3166
SVC,0,0,0,0,0,0,0,0,0,0,0.82,0,poly,0.928,0.928,0.948,0.948,0.00699,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,13,chebyshev,0,0,0,0,0,0.967,0.967,0.943,0.943,0.00199,43,3,1059,8,26586,38.24378,2.3166
SVC,0,0,0,0,0,0,0,0,0,0,0.97,0,poly,0.943,0.944,0.943,0.945,0.00702,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,3,5,log2,0,50,0,0,0,0,0,0,0,0.914,0.912,0.943,0.943,0.06981,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,6,4,,0,0,0,0,0,0,0,0,0,0.916,0.917,0.943,0.944,0.00199,43,3,1059,8,26586,38.24378,2.3166
SVC,0,0,0,0,0,0,0,0,0,0,0.55,0,poly,0.919,0.919,0.939,0.939,0.00698,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,entropy,5,1,sqrt,0,0,0,0,0,0,0,0,0,0.93,0.93,0.939,0.939,0.001,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,16,euclidean,0,0,0,0,0,0.955,0.955,0.939,0.939,0.00099,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,3,9,sqrt,0,50,0,0,0,0,0,0,0,0.926,0.923,0.939,0.937,0.07181,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,5,6,,0,0,0,0,0,0,0,0,0,0.901,0.896,0.934,0.93,0.001,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,3,1,log2,0,50,0,0,0,0,0,0,0,0.927,0.924,0.934,0.931,0.07181,43,3,1059,8,26586,38.24378,2.3166
SVC,0,0,0,0,0,0,0,0,0,0,0.29,0,poly,0.915,0.915,0.929,0.929,0.00898,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,2,19,log2,0,50,0,0,0,0,0,0,0,0.844,0.84,0.929,0.927,0.0758,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,11,chebyshev,0,0,0,0,0,0.963,0.964,0.929,0.93,0.00199,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,5,14,log2,0,0,0,0,0,0,0,0,0,0.927,0.928,0.929,0.93,0.001,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,3,13,log2,0,50,0,0,0,0,0,0,0,0.94,0.938,0.925,0.921,0.06981,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,15,euclidean,0,0,0,0,0,0.948,0.948,0.925,0.925,0.00199,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,5,18,sqrt,0,0,0,0,0,0,0,0,0,0.889,0.888,0.925,0.924,0.00199,43,3,1059,8,26586,38.24378,2.3166
Logistic Regression,0,0,0,0,0,0,0,0,newton-cg,l2,1.5,1450,0,0.825,0.829,0.925,0.926,0.02094,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,2,15,log2,0,50,0,0,0,0,0,0,0,0.872,0.871,0.92,0.921,0.06981,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,5,11,,0,0,0,0,0,0,0,0,0,0.904,0.899,0.92,0.915,0.001,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,18,manhattan,0,0,0,0,0,0.935,0.935,0.92,0.92,0.00203,43,3,1059,8,26586,38.24378,2.3166
NaiveBayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934,0.935,0.92,0.923,0.002,43,3,1059,8,26586,38.24378,2.3166
Random Forest,gini,3,3,sqrt,0,50,0,0,0,0,0,0,0,0.896,0.888,0.915,0.911,0.07081,43,3,1059,8,26586,38.24378,2.3166
K Nearest Neighbors,0,0,0,0,0,0,14,euclidean,0,0,0,0,0,0.952,0.952,0.915,0.915,0.00199,43,3,1059,8,26586,38.24378,2.3166
Logistic Regression,0,0,0,0,0,0,0,0,sag,l2,1.9,300,0,0.828,0.831,0.915,0.916,0.01562,43,3,1059,8,26586,38.24378,2.3166
Decision Tree,gini,5,8,,0,0,0,0,0,0,0,0,0,0.906,0.9,0.915,0.912,0.001,43,3,1059,8,26586,38.24378,2.3166
SVC,0,0,0,0,0,0,0,0,0,0,0.14,0,poly,0.902,0.903,0.91,0.912,0.00997,43,3,1059,8,26586,38.24378,2.3166
