model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Decision Tree,gini,1,1,,0.0,0,0,0,0,0,0.0,0,0,0.921,0.896,1.0,1.0,0.00103,57,3,48,17,2073,4.66618,1.84684
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,100,0,0.921,0.896,1.0,1.0,0.00594,57,3,49,18,2073,4.66618,1.84684
SVC,0,0,0,0,0.0,0,0,0,0,0,0.03,0,sigmoid,0.895,0.87,1.0,1.0,0.00098,57,3,48,17,2073,4.66618,1.84684
Random Forest,gini,1,1,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.947,0.922,1.0,1.0,0.07081,57,3,48,17,2073,4.66618,1.84684
Gradient Boosting,0,3,0,0,0.1,10,0,0,0,0,0.0,0,0,1.0,1.0,0.9,0.899,0.02754,57,3,48,17,2073,4.66618,1.84684
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,200,0,0.947,0.923,0.9,0.914,0.00499,57,3,49,18,2073,4.66618,1.84684
K Nearest Neighbors,0,0,0,0,0.0,0,5,minkowski,0,0,0.0,0,0,0.921,0.897,0.9,0.897,0.001,57,3,48,17,2073,4.66618,1.84684
SVC,0,0,0,0,0.0,0,0,0,0,0,0.04,0,poly,0.947,0.935,0.9,0.854,0.00099,57,3,48,17,2073,4.66618,1.84684
Decision Tree,gini,1,2,,0.0,0,0,0,0,0,0.0,0,0,0.947,0.935,0.9,0.853,0.00103,57,3,48,17,2073,4.66618,1.84684
Random Forest,gini,1,3,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.974,0.961,0.9,0.856,0.06882,57,3,48,17,2073,4.66618,1.84684
Decision Tree,gini,1,11,,0.0,0,0,0,0,0,0.0,0,0,0.974,0.961,0.8,0.755,0.00103,57,3,48,17,2073,4.66618,1.84684
SVC,0,0,0,0,0.0,0,0,0,0,0,0.04,0,rbf,0.974,0.974,0.8,0.714,0.001,57,3,48,17,2073,4.66618,1.84684
NaiveBayes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.974,0.974,0.8,0.72,0.00401,57,3,48,17,2073,4.66618,1.84684
K Nearest Neighbors,0,0,0,0,0.0,0,10,minkowski,0,0,0.0,0,0,0.895,0.883,0.8,0.76,0.00103,57,3,48,17,2073,4.66618,1.84684
Logistic Regression,0,0,0,0,0.0,0,0,0,lbfgs,l2,0.1,500,0,0.974,0.961,0.8,0.76,0.00499,57,3,49,18,2073,4.66618,1.84684
