model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration,data_id,n_class,n_rows,n_coloumn,data_size,mean,std
Random Forest,gini,11,3,log2,0.0,90,0,0,0,0,0.0,0,0,1.0,1.0,0.983,0.984,0.11868,48,2,299,13,12539,20331.50446,7606.47672
Logistic Regression,0,0,0,0,0.0,0,0,0,newton-cg,l2,1.1,1550,0,0.803,0.792,0.967,0.967,0.00364,48,2,299,13,12539,20331.50446,7606.47672
Random Forest,gini,6,1,log2,0.0,70,0,0,0,0,0.0,0,0,0.958,0.957,0.967,0.966,0.09275,48,2,299,13,12539,20331.50446,7606.47672
SVC,0,0,0,0,0.0,0,0,0,0,0,0.94,0,rbf,0.841,0.834,0.967,0.965,0.00201,48,2,299,13,12539,20331.50446,7606.47672
Random Forest,gini,8,17,log2,0.0,50,0,0,0,0,0.0,0,0,0.912,0.911,0.95,0.95,0.07081,48,2,299,13,12539,20331.50446,7606.47672
Logistic Regression,0,0,0,0,0.0,0,0,0,newton-cg,l2,1.9,1300,0,0.824,0.819,0.95,0.95,0.00416,48,2,299,13,12539,20331.50446,7606.47672
Decision Tree,gini,1,13,,0.0,0,0,0,0,0,0.0,0,0,0.82,0.812,0.95,0.952,0.001,48,2,299,13,12539,20331.50446,7606.47672
Random Forest,gini,9,11,log2,0.0,50,0,0,0,0,0.0,0,0,0.941,0.941,0.933,0.933,0.06582,48,2,299,13,12539,20331.50446,7606.47672
Decision Tree,gini,1,3,auto,0.0,0,0,0,0,0,0.0,0,0,0.824,0.814,0.933,0.933,0.00096,48,2,299,13,12539,20331.50446,7606.47672
SVC,0,0,0,0,0.0,0,0,0,0,0,1.64,0,linear,0.82,0.816,0.933,0.933,0.00199,48,2,299,13,12539,20331.50446,7606.47672
Random Forest,gini,8,5,sqrt,0.0,50,0,0,0,0,0.0,0,0,0.987,0.987,0.917,0.917,0.06582,48,2,299,13,12539,20331.50446,7606.47672
