1,2,55692,27,6373622,1078.1662,608.67035
2,2,32561,15,3844217,12739.90078,7559.26862
3,2,32561,15,3844231,12739.90078,7559.26862
4,2,30000,25,3386491,19361.50347,25728.14886
5,2,36275,19,3240604,1072.51394,558.68901
6,2,25976,25,3037688,3172.1215,1848.79686
7,3,4465,242,2197973,0.06272,0.13717
8,2,18185,12,2045830,2001.49397,690.15708
9,2,17898,9,1748117,34.6746,22.22007
10,2,14635,25,1244639,4.97856,2.03138
11,3,7999,21,840687,61.249,38.04308
12,4,10129,18,810257,318.15083,184.77071
13,2,10000,12,561600,1322351.284,15996.44858
14,3,4746,21,434125,1920000000000.0,2506854200.0
15,7,8124,23,382127,2.24006,1.18864
16,7,2111,17,263646,7.83316,2.45708
17,3,8238,13,245488,22.10889,14.14181
18,2,937,50,232113,15781.4372,77166.20607
19,3,2126,22,230842,43.75947,9.94359
20,2,923,49,210987,518838.0147,3870129.371
21,2,55692,27,197552,1078.1662,608.67035
22,2,4653,9,195247,228.01801,1.27127
23,2,1429,23,163490,12651298.18,7966692.693
24,2,801,41,161418,25976.13602,4104.71759
25,2,3309,27,152144,46.9887,14.56645
28,2,569,32,125141,949177.7665,3906926.039
29,2,5001,8,128316,2.81139,0.56066
30,2,1340,21,120949,42.04154,21.56108
31,2,2000,5,119807,10163.48375,3592.63892
32,2,1987,10,115409,93379.29633,37743.64856
33,2,858,36,102918,3.06779,2.3125
34,2,1023,8,91058,0.70049,2.07239
35,2,207,61,87984,0.28431,0.14818
36,5,649,30,63760,1.97966,0.87616
37,2,667,20,56997,76.78543,17.49498
38,2,299,28,53722,38990.67529,54939.95899
39,2,614,13,38013,601.92146,720.43595
40,2,918,12,36840,43.95966,13.98935
41,2,954,7,29644,5.35415,1.13942
42,2,390,16,29372,80.49856,25.50243
43,3,1059,8,26586,38.24378,2.3166
44,3,367,12,21955,586.79969,623.40258
45,2,215,13,16393,26.1191,4.04385
46,2,207,19,15888,13.23163,6.97043
47,2,195,14,14570,15252.39836,5156.67915
48,2,299,13,12539,20331.50446,7606.47672
49,2,303,14,11328,42.18435,7.72265
50,2,400,5,10926,3152264.152,21153.34903
51,6,214,10,10053,10.4173,0.83096
52,6,240,7,8421,16848.48419,27074.3383
53,6,500,4,8318,70.0455,12.65333
54,5,200,6,6029,10.65158,4.55137
55,3,150,5,4617,2.97093,0.92169
56,2,125,5,2897,21339.0528,24371.87043
57,3,48,17,2073,4.66618,1.84684
